0,0,0
35,3,15
44,10,58
53,17,101
60,22,146
68,28,190
80,38,230
88,44,274
95,49,319
104,56,362
113,63,405
119,67,451
125,71,497
132,76,542
141,83,585
149,89,629
157,95,673
165,101,717
175,109,759
181,113,805
187,117,851
194,122,896
203,129,939
210,134,984
218,140,1028
227,147,1071
234,152,1116
244,160,1158
250,164,1204
259,171,1247
265,175,1293
274,182,1336
281,187,1381
290,194,1424
300,202,1466
308,208,1510
314,212,1556
321,217,1601
331,225,1643
338,230,1688
346,236,1732
355,243,1775
366,252,1816
374,258,1860
380,262,1906
390,270,1948
399,277,1991
408,284,2034
415,289,2079
424,296,2122
430,300,2168
438,306,2212
446,312,2256
454,318,2300
460,322,2346
471,331,2387
478,336,2432
486,342,2476
495,349,2519
501,353,2565
509,359,2609
517,365,2653
527,373,2695
536,380,2738
544,386,2782
552,392,2826
561,399,2869
570,406,2912
578,412,2956
585,417,3001
594,424,3044
600,428,3090
612,438,3130
621,445,3173
629,451,3217
636,456,3262
643,461,3307
655,471,3347
664,478,3390
671,483,3435
679,489,3479
687,495,3523
695,501,3567
702,506,3612
711,513,3655
719,519,3699
727,525,3743
736,532,3786
744,538,3830
755,547,3871
761,551,3917
768,556,3962
775,561,4007
782,566,4052
790,572,4096
798,578,4140
808,586,4182
816,592,4226
825,599,4269
831,603,4315
